file_path,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,emotion
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-01-01-01-01-01.wav,-670.19543,65.06385,0.8889541,14.715979,9.182164,0.6605749,-3.846836,-3.583946,-12.959006,-3.300133,0.9107796,-3.5970356,2.376274,Neutral
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-01-01-01-02-01.wav,-660.23035,63.325817,-2.6304572,17.983355,9.407703,-0.98149806,-2.3246973,-6.8480315,-14.13367,-2.2003322,0.48575452,-3.5897148,0.7036762,Neutral
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-01-01-02-01-01.wav,-661.9645,66.65587,-0.93215775,14.899042,5.3247027,0.47434273,-3.3466513,-7.1025248,-12.873403,-5.088379,0.0013453722,-3.964232,1.5700024,Neutral
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-01-01-02-02-01.wav,-657.72235,65.03519,3.148672,15.666511,7.5826573,2.6280873,-1.8500686,-7.4775786,-11.976265,-4.458463,0.47438192,-2.4187021,0.20188099,Neutral
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-01-01-01-01.wav,-694.5796,72.531715,3.1045616,17.112118,9.077339,1.8362565,-4.146086,-4.797151,-11.764123,-5.9254804,0.92036,-3.949307,0.51349837,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-01-01-02-01.wav,-676.02344,80.26263,2.5032034,13.3088665,11.569082,1.1933577,-5.3659854,-5.692615,-9.998198,-5.7293344,1.9533231,-2.9317298,-0.2783358,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-01-02-01-01.wav,-666.6185,75.51372,0.7542206,15.570237,6.638893,3.128689,-1.8389338,-5.8404164,-10.310458,-5.5001116,2.0212364,-2.0762117,1.4491689,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-01-02-02-01.wav,-667.1171,79.26519,0.21456468,14.969451,8.738844,1.6147742,-1.5327643,-7.3180475,-9.807106,-5.784626,0.626626,-2.4500756,1.2911066,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-02-01-01-01.wav,-687.3938,86.30303,4.9101667,16.588547,11.206296,2.00706,-4.878831,-3.8133452,-7.948538,-5.7055464,2.2010863,-0.16574505,-0.3443661,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-02-01-02-01.wav,-632.44934,89.4056,-0.7624835,15.570318,9.03804,0.5364826,-6.2400036,-8.146271,-10.77365,-6.593976,3.4899037,-2.0718486,-1.5570123,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-02-02-01-01.wav,-612.8108,91.1305,3.6563616,14.375622,5.6840687,6.5952787,-7.8155265,-7.7080717,-12.261244,-7.3132215,2.3346727,0.5922539,-0.21268322,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-02-02-02-01.wav,-615.4578,86.49379,-5.1948757,19.32302,8.754476,3.5146327,-6.1018257,-11.22689,-13.208188,-5.202708,4.8854938,-1.4740356,-0.51255995,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-01-01-01-01.wav,-616.1367,73.989075,-5.612793,14.566868,4.5197744,-3.8280938,-7.030733,-8.178227,-13.892967,-3.1425695,-1.8347383,-8.218003,1.0897971,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-01-01-02-01.wav,-601.02,73.71425,-7.142499,18.018578,7.6638527,-1.9836943,-7.730342,-5.682049,-16.004135,-1.6102889,0.20392556,-7.5068254,3.873856,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-01-02-01-01.wav,-624.1426,73.20094,-2.9849496,15.253688,2.033355,-0.27825776,-6.6547213,-8.6123905,-16.168875,-3.9341972,2.776278,-8.272647,2.255594,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-01-02-02-01.wav,-607.8641,69.66942,-0.69582266,21.833483,2.0618675,-0.17839256,-3.9301245,-8.634003,-17.164713,-5.2714367,0.26509506,-6.399935,2.6937387,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-02-01-01-01.wav,-559.3498,59.434597,-7.3483286,6.731324,-1.6105077,-1.6446794,-15.297956,-10.8014145,-12.724634,-10.259271,-0.9808685,-8.853123,-2.5251477,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-02-01-02-01.wav,-525.63245,65.39656,-13.422568,7.114838,2.4793038,-2.894315,-13.134979,-8.312349,-17.194006,-9.487422,3.260013,-9.445167,-1.709908,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-02-02-01-01.wav,-460.33026,63.159615,-13.468572,9.937035,-0.07539403,-3.2403305,-13.818609,-12.049683,-23.861622,-6.4673867,-0.104217,-12.272019,0.17549796,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-02-02-02-01.wav,-475.0104,64.74805,-11.6566105,8.972135,-1.3624594,-4.3265204,-12.8541,-12.519541,-22.508833,-9.462559,-2.3589678,-9.268343,-0.5677207,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-04-01-01-01-01.wav,-634.87775,77.04579,-2.8813233,18.228151,8.792021,-3.5449212,-2.923571,-10.810565,-13.933831,-5.671137,-5.5116515,-2.236655,-1.2557415,Sad
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-04-01-01-02-01.wav,-670.48425,72.873276,-5.122416,16.831568,8.073151,-1.8720027,-0.5634689,-9.439885,-12.27223,-6.3696413,-1.7951287,-2.1579027,-1.9174446,Sad
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-04-01-02-01-01.wav,-707.9433,70.332085,-3.9816368,16.394806,7.665537,-2.1531868,-2.0609136,-8.838734,-12.73049,-4.445475,-1.147331,-1.585549,-1.4445822,Sad
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-04-01-02-02-01.wav,-681.6502,69.696846,0.46915486,18.170815,6.8703127,-0.44826308,1.3564289,-8.938222,-14.520136,-4.707396,-2.8978689,-3.0332134,-0.1426187,Sad
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-04-02-01-01-01.wav,-624.8101,77.52801,0.09783766,19.884455,8.857916,-3.2568476,-2.2237504,-10.291403,-12.763717,-2.6949506,-3.904852,-4.157227,-0.90798914,Sad
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-04-02-01-02-01.wav,-587.73987,62.540543,-6.062553,12.954742,4.5477104,-4.493005,-10.604273,-8.7653885,-18.683168,-5.4651866,-2.7438278,-8.550165,0.38453674,Sad
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-04-02-02-01-01.wav,-577.98413,67.7605,-7.037594,16.87673,4.9397554,-3.4777806,-8.413762,-11.454425,-22.813314,-5.9835224,-2.87467,-8.92794,0.4575787,Sad
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-04-02-02-02-01.wav,-557.87836,62.92364,-5.1800895,16.349602,2.8336828,-3.8141267,-8.793596,-11.089685,-19.799898,-4.8437257,-1.6096737,-7.6002574,0.584358,Sad
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-05-01-01-01-01.wav,-490.88266,54.25925,-7.4870563,15.928641,-1.8539724,-3.7620168,-5.56719,-1.9980389,-15.838935,-6.1874022,-1.1881499,-6.118937,-0.9479344,Angry
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-05-01-01-02-01.wav,-467.40607,52.420807,-7.031423,10.8307705,-4.4285545,-4.906848,-9.143121,-11.159565,-17.296751,-8.546915,-5.92051,-8.759364,-4.677646,Angry
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-05-01-02-01-01.wav,-547.852,53.038635,-2.0177119,13.761202,-0.44743583,-2.0050333,-6.0413804,-7.5075965,-15.572764,-4.4823604,-4.1543255,-5.0845604,-1.071108,Angry
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-05-01-02-02-01.wav,-488.1695,54.694916,-3.3864207,10.768423,0.121067695,-4.39837,-5.445421,-8.1943865,-18.647003,-6.212215,-3.171641,-7.064699,0.15659931,Angry
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-05-02-01-01-01.wav,-281.9608,38.79511,-25.80307,0.33637837,-16.025085,-7.020027,-17.174591,-16.689875,-17.486822,-11.457616,-8.344426,-6.4184804,-9.525339,Angry
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-05-02-01-02-01.wav,-302.81027,42.156296,-22.560316,4.5147657,-11.462321,-9.415368,-14.791269,-8.066681,-22.015171,-11.771349,-7.8800097,-12.188114,-7.0418053,Angry
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-05-02-02-01-01.wav,-329.68204,37.055607,-18.648388,6.549638,-9.69645,-6.251557,-13.36595,-8.641983,-21.028406,-8.458946,-4.560714,-10.382032,-3.6614401,Angry
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-05-02-02-02-01.wav,-203.71127,31.237106,-29.7649,-4.1967,-16.171604,-10.366575,-24.22453,-15.5820465,-22.46269,-13.666406,-3.8765845,-12.2436075,-8.562599,Angry
