file_path,emotion
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-01-01-01-01-01.wav,Neutral
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-01-01-01-02-01.wav,Neutral
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-01-01-02-01-01.wav,Neutral
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-01-01-02-02-01.wav,Neutral
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-01-01-01-01.wav,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-01-01-02-01.wav,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-01-02-01-01.wav,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-01-02-02-01.wav,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-02-01-01-01.wav,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-02-01-02-01.wav,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-02-02-01-01.wav,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-02-02-02-02-01.wav,Calm
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-01-01-01-01.wav,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-01-01-02-01.wav,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-01-02-01-01.wav,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-01-02-02-01.wav,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-02-01-01-01.wav,Happy
C:\Users\LENOVO\OneDrive\Desktop\مهنة\PROJECT SER\datasets\Actor_01\03-01-03-02-01-02-01.wav,Happy
